ID,critical_distance,direction,bearing
1,12, buffer,999
2,12, buffer,999
3,12, buffer,999
4,12, buffer,999
5,12, buffer,999
6,12, buffer,999
7,12, buffer,999
8,12, buffer,999
9,12, buffer,999
10,12, buffer,999
11,12, buffer,999
12,12, buffer,999
13,12, buffer,999
14,12, buffer,999
15,12, buffer,999
16,12, buffer,999
17,12, buffer,999
18,12, buffer,999
19,12, buffer,999
20,12, buffer,999
21,12, buffer,999
22,12, buffer,999
23,12, buffer,999
24,12, buffer,999
25,12, buffer,999
26,12, buffer,999
27,12, buffer,999
28,12, buffer,999
29,12, buffer,999
30,12, buffer,999
31,12, buffer,999
32,12, buffer,999
33,12, buffer,999
34,12, buffer,999
35,12, buffer,999
36,12, buffer,999
37,12, buffer,999
38,12, buffer,999
39,12, buffer,999
40,12, buffer,999
41,12, buffer,999
42,12, buffer,999
43,12, buffer,999
44,12, buffer,999
45,12, buffer,999
46,12, buffer,999
47,12, buffer,999
48,12, buffer,999
49,12, buffer,999
50,12, buffer,999
51,12, buffer,999
52,12, buffer,999
53,12, buffer,999
54,12, buffer,999
55,12, buffer,999
56,12, buffer,999
57,12, buffer,999
58,12, buffer,999
59,12, buffer,999
60,12, buffer,999
61,12, buffer,999
62,12, buffer,999
63,12, buffer,999
64,12, buffer,999
65,12, buffer,999
66,12, buffer,999
67,12, buffer,999
68,12, buffer,999
69,12, buffer,999
70,12, buffer,999
71,12, buffer,999
72,12, buffer,999
73,12, buffer,999
74,12, buffer,999
75,12, buffer,999
76,12, buffer,999
77,12, buffer,999
78,12, buffer,999
79,12, buffer,999
80,12, buffer,999
81,12, buffer,999
82,12, buffer,999
83,12, buffer,999
84,12, buffer,999
85,12, buffer,999
86,12, buffer,999
87,12, buffer,999
88,12, buffer,999
89,12, buffer,999
90,12, buffer,999
91,12, buffer,999
92,12, buffer,999
93,12, buffer,999
94,12, buffer,999
95,12, buffer,999
96,12, buffer,999
97,12, buffer,999
98,12, buffer,999
99,12, buffer,999
100,12, buffer,999
101,12, buffer,999
102,12, buffer,999
103,12, buffer,999
104,12, buffer,999
105,12, buffer,999
106,12, buffer,999
107,12, buffer,999
108,12, buffer,999
109,12, buffer,999
110,12, buffer,999
111,12, buffer,999
112,12, buffer,999
113,12, buffer,999
114,12, buffer,999
115,12, buffer,999
116,12, buffer,999
117,12, buffer,999
118,12, buffer,999
119,12, buffer,999
120,12, buffer,999
121,12, buffer,999
122,12, buffer,999
123,12, buffer,999
124,12, buffer,999
125,12, buffer,999
126,12, buffer,999
127,12, buffer,999
128,12, buffer,999
129,12, buffer,999
130,12, buffer,999
131,12, buffer,999
132,12, buffer,999
133,12, buffer,999
134,12, buffer,999
135,12, buffer,999
136,12, buffer,999
137,12, buffer,999
138,12, buffer,999
139,12, buffer,999
140,12, buffer,999
141,12, buffer,999
142,12, buffer,999
